ranking,fund_short_name,fund_company,investment_strategy,lastest_NAV,cumulative_return,recent_month_return,annalized_return,sharpe_ratio,year_rating
901,北京信托-云程泰增值二期,云程泰,股票策略,"3.0295
2017-10-20",200.49%,4.85%,--,--,3out of 5
902,富承高息基金1号,璟行资产,股票策略,"2.1472
2017-10-25",105.32%,4.84%,--,--,4out of 5
903,志开成长2期,志开投资,股票策略,"1.1665
2017-10-16",13.49%,4.84%,--,--,3out of 5
904,通泽策略一号,通泽资产,股票策略,"0.8510
2017-10-13",-15.30%,4.83%,--,--,1out of 5
905,东源嘉盈三号,东源嘉盈,股票策略,"1.1525
2017-10-25",10.11%,4.83%,--,--,3out of 5
906,乾阳良木1号,乾阳投资,股票策略,"1.0493
2017-10-20",9.68%,4.83%,--,--,Not provided
907,皓晨之星,皓晨投资,股票策略,"1.3280
2017-10-13",30.40%,4.82%,--,--,3out of 5
908,坤德永盛1期,泰和坤德,股票策略,"1.5570
2017-10-27",43.50%,4.82%,--,--,4out of 5
909,巨杉净值线3号,巨杉资产,股票策略,"2.4450
2017-10-25",135.10%,4.81%,--,--,3out of 5
910,巨牛厚石量化对冲三号,广东巨牛投资,股票策略,"1.0060
2017-10-20",6.70%,4.81%,--,--,3out of 5
911,平安信托-景泰复利回报五期,景泰利丰,股票策略,"1.7447
2017-10-20",64.50%,4.80%,--,--,4out of 5
912,长牛分析1号,润樽投资,股票策略,"1.5130
2017-10-20",46.20%,4.80%,--,--,Not provided
913,理时元开,理时资本,股票策略,"1.2644
2017-10-13",21.11%,4.80%,--,--,3out of 5
914,广发恒泰厚诚敏优选2号二期,前海广发恒泰基金,股票策略,"1.1230
2017-10-20",13.60%,4.80%,--,--,Not provided
915,易同精选五期,深圳易同投资,股票策略,"1.1871
2017-10-20",15.26%,4.79%,--,--,3out of 5
916,拾金3号,国源信达,股票策略,"1.1524
2017-10-27",8.50%,4.79%,--,--,Not provided
917,博永-博复达4号,博永投资,股票策略,"1.0790
2017-10-20",6.59%,4.79%,--,--,Not provided
918,北方信托-金石量化智能一号,金石投资,股票策略,"0.9482
2017-10-20",-4.28%,4.77%,--,--,Not provided
919,融创晋信量化1号,融创晋信资产,股票策略,"1.0650
2017-10-20",7.60%,4.77%,--,--,Not provided
920,华润信托-长河优势3号,秀果投资,股票策略,"0.8701
2017-09-29",-12.99%,4.77%,--,--,4out of 5
921,中英1号,磊萌资产,股票策略,"1.0792
2017-10-13",16.13%,4.76%,--,--,Not provided
922,泰和汇2期,泰和汇投资,股票策略,"1.0100
2017-10-20",10.00%,4.76%,--,--,Not provided
