ranking,fund_short_name,fund_company,investment_strategy,lastest_NAV,cumulative_return,recent_month_return,annalized_return,sharpe_ratio,year_rating
1001,平安信托-金蕴56期,恒复投资,股票策略,"2.2838
2017-10-20",120.20%,4.50%,--,--,Not provided
1002,私募学院菁英35号(价值套利稳健型一号),查理投资,股票策略,"1.9646
2017-10-27",83.74%,4.50%,--,--,5out of 5
1003,华润信托-星石3期,星石投资,股票策略,"3.7441
2017-10-20",263.38%,4.50%,--,--,3out of 5
1004,华润信托-理成消费分红(转子6号),理成资产,股票策略,"2.1446
2017-09-29",202.76%,4.50%,--,--,2out of 5
1005,中信信托-汇利优选2期,汇利资产,股票策略,"2.6935
2017-10-20",164.95%,4.49%,--,--,3out of 5
1006,陕国投-新价值12号,新价值,股票策略,"1.7907
2017-10-13",75.64%,4.49%,--,--,4out of 5
1007,华润信托-星石2期,星石投资,股票策略,"3.8360
2017-10-20",272.43%,4.49%,--,--,3out of 5
1008,中融信托-谦石2号,谦石投资,股票策略,"1.7841
2017-10-20",75.75%,4.49%,--,--,3out of 5
1009,中融信托-太极1号,天隼投资,股票策略,"1.7116
2017-10-20",62.97%,4.49%,--,--,2out of 5
1010,途灵消费1号,途灵资产,股票策略,"1.0750
2017-10-20",4.80%,4.49%,--,--,Not provided
1011,银河1号私募投资基金,银河恒天,股票策略,"1.2291
2017-10-20",27.59%,4.48%,--,--,Not provided
1012,西藏信托-中卓成长1期,中卓投资,股票策略,"2.4402
2017-10-20",137.51%,4.48%,--,--,2out of 5
1013,深国投-星石1期,星石投资,股票策略,"3.8747
2017-10-20",276.03%,4.47%,--,--,4out of 5
1014,道谊红桐,前海道谊,股票策略,"1.1240
2017-10-20",6.27%,4.47%,--,--,3out of 5
1015,中汇金凯三期,中汇金凯,股票策略,"1.5190
2017-10-20",51.90%,4.47%,--,--,3out of 5
1016,富盈5号,阿米巴基金,股票策略,"1.0520
2017-10-09",4.67%,4.47%,--,--,Not provided
1017,博鸿成长2号,上海博鸿投资,股票策略,"1.3803
2017-10-20",33.43%,4.46%,--,--,3out of 5
1018,马拉松全球,东方港湾投资,股票策略,"1.7700
2017-10-20",59.60%,4.45%,--,--,3out of 5
1019,云南信托-聚宝19号,德锐资本,股票策略,"0.9992
2017-10-20",-0.18%,4.44%,--,--,Not provided
1020,博鸿元玉,上海博鸿投资,股票策略,"1.5281
2017-09-29",52.81%,4.44%,--,--,3out of 5
1021,华润信托-博颐精选2期,博颐投资,股票策略,"3.6568
2017-09-29",265.68%,4.44%,--,--,3out of 5
1022,格鲁稳健成长二号,逐熹投资,股票策略,"0.9490
2017-10-26",-10.60%,4.44%,--,--,Not provided
1023,神农本源,神农投资,股票策略,"1.1340
2017-10-20",13.00%,4.44%,--,--,3out of 5
1024,君冠1号,君冠投资,股票策略,"0.5290
2017-10-13",-48.20%,4.44%,--,--,1out of 5
1025,天佑一期,星纪资产,股票策略,"1.2790
2017-10-27",20.10%,4.43%,--,--,Not provided
1026,质嘉三期,质嘉投资,股票策略,"0.9810
2017-10-23",-8.10%,4.43%,--,--,2out of 5
1027,宝时专户4号-朝暮永续,宝时投资,股票策略,"0.9010
2017-10-19",-8.10%,4.43%,--,--,2out of 5
1028,华润信托-博颐稳健1期,博颐投资,股票策略,"2.3853
2017-09-29",138.53%,4.43%,--,--,3out of 5
1029,北京信托-翼虎成长三期,翼虎投资,股票策略,"2.0001
2017-10-20",92.87%,4.43%,--,--,3out of 5
1030,海燕沪港深精选,海燕投资,股票策略,"1.2228
2017-10-24",20.27%,4.43%,--,--,Not provided
1031,华润信托-博颐精选3期,博颐投资,股票策略,"2.5612
2017-09-29",156.12%,4.42%,--,--,3out of 5
1032,强国重器5号,铜爵资产,股票策略,"1.0126
2017-10-12",0.94%,4.42%,--,--,Not provided
1033,米牛沪港深精选,米牛投资,股票策略,"1.2630
2017-10-26",20.60%,4.42%,--,--,4out of 5
1034,中信信托-冰冷2期,冰冷之心资本,股票策略,"0.9521
2017-10-20",-12.51%,4.40%,--,--,2out of 5
1035,星池量化木星1号,星池投资,股票策略,"0.9260
2017-10-20",-15.82%,4.40%,--,--,2out of 5
1036,博鸿元怡,上海博鸿投资,股票策略,"1.0212
2017-09-29",2.12%,4.40%,--,--,2out of 5
1037,堡利特狙击手二号,堡利特资管,股票策略,"1.2546
2017-10-20",22.62%,4.39%,--,--,Not provided
1038,天井稳健二号,天井投资,股票策略,"1.2865
2017-10-26",26.26%,4.39%,--,--,Not provided
1039,兴业信托-菁英时代成长3号,菁英时代,股票策略,"1.9517
2017-10-20",89.97%,4.38%,--,--,1out of 5
1040,赋成财通创新1号,赋成资产,股票策略,"0.7190
2017-10-13",-2.30%,4.38%,--,--,3out of 5
1041,中信信托-汇利3期,汇利资产,股票策略,"1.7585
2017-10-20",73.08%,4.38%,--,--,3out of 5
1042,裕晋11期,裕晋投资,股票策略,"0.9400
2017-10-20",-7.00%,4.38%,--,--,3out of 5
1043,诚朴息壤一号,诚朴(深圳)资产,股票策略,"1.4220
2017-10-20",39.73%,4.37%,--,--,4out of 5
1044,富果同享1号,富果投资,股票策略,"1.2023
2017-10-25",28.94%,4.37%,--,--,4out of 5
1045,北京信托-云程泰增值,云程泰,股票策略,"3.0262
2017-10-20",200.03%,4.36%,--,--,3out of 5
1046,领真2期,领真资产,股票策略,"0.8860
2017-09-29",-11.40%,4.36%,--,--,1out of 5
1047,天衍壹期,赢乃进,股票策略,"1.3900
2017-10-20",39.00%,4.35%,--,--,3out of 5
1048,中融信托-智德二期,智德投资,股票策略,"2.9669
2017-10-20",182.90%,4.35%,--,--,4out of 5
1049,石锋资产力行一号,石锋资产,股票策略,"1.1310
2017-10-20",5.50%,4.35%,--,--,Not provided
1050,连民一号,倍格投资,股票策略,"1.1030
2017-09-29",20.34%,4.35%,--,--,4out of 5
1051,银国达天河1号,银国达资本,股票策略,"1.1640
2017-10-20",24.70%,4.35%,--,--,3out of 5
1052,鑫融长弘投资-私募学院菁英139号,鑫融长弘,股票策略,"1.1780
2017-09-29",43.35%,4.35%,--,--,5out of 5
1053,外贸信托-汇富4号(汇利优选4期),汇利资产,股票策略,"2.8886
2017-10-20",184.34%,4.35%,--,--,3out of 5
1054,达芬奇,普尔投资,股票策略,"1.1420
2017-10-25",5.80%,4.34%,--,--,3out of 5
1055,道和招盈3号,道和投资,股票策略,"1.2523
2017-10-20",18.95%,4.32%,--,--,Not provided
1056,金陀罗飞龙1号,金陀罗投资,股票策略,"1.7733
2017-10-20",65.52%,4.32%,--,--,1out of 5
1057,外贸信托-汇利优选9期,汇利资产,股票策略,"1.9426
2017-10-20",91.30%,4.32%,--,--,3out of 5
1058,辉毅6号,申毅投资,股票策略,"1.2440
2017-10-20",23.20%,4.32%,--,--,Not provided
1059,华润信托-博颐精选,博颐投资,股票策略,"3.8274
2017-09-29",282.74%,4.31%,--,--,3out of 5
1060,天和15号基金,天和投资,股票策略,"1.1300
2017-10-20",4.10%,4.31%,--,--,Not provided
1061,林园投资3号,林园投资,股票策略,"1.1817
2017-09-29",18.17%,4.31%,--,--,Not provided
1062,私募工场睿阳至信,睿阳资本,股票策略,"0.8130
2017-10-20",-22.50%,4.31%,--,--,2out of 5
1063,仙湖一号,仙湖投资,股票策略,"1.3560
2017-10-26",33.40%,4.30%,--,--,4out of 5
1064,欣铭,华银精治,股票策略,"1.0470
2017-10-13",4.30%,4.30%,--,--,Not provided
1065,翼虎成长八期,翼虎投资,股票策略,"1.0371
2017-10-20",0.54%,4.29%,--,--,2out of 5
1066,外贸信托-世通嫦娥奔月,康庄资产,股票策略,"0.7674
2017-10-20",-24.29%,4.28%,--,--,1out of 5
1067,中信信托-翼虎成长五期,翼虎投资,股票策略,"1.0864
2017-10-20",5.05%,4.28%,--,--,2out of 5
1068,和鑫优选1号,和合润鑫投资,股票策略,"1.0339
2017-10-19",25.98%,4.27%,--,--,2out of 5
1069,宏莱价值成长一号,宏莱投资,股票策略,"1.1510
2017-10-20",15.00%,4.26%,--,--,Not provided
1070,凡得幸福战略并购,凡得基金,股票策略,"1.2064
2017-09-29",74.42%,4.26%,--,--,2out of 5
1071,海燕精选1号,海燕投资,股票策略,"1.1578
2017-10-20",15.02%,4.26%,--,--,Not provided
1072,金湖无量中证500增强指数二期,红墙泰和,股票策略,"1.1760
2017-09-28",17.60%,4.26%,--,--,Not provided
1073,汉和6期,汉和资本,股票策略,"1.1598
2017-10-20",8.85%,4.24%,--,--,Not provided
1074,私募学院菁英311号,圣盾投资,股票策略,"1.1026
2017-10-27",3.67%,4.23%,--,--,Not provided
1075,赋成十二号,赋成资产,股票策略,"0.8890
2017-10-20",-8.80%,4.23%,--,--,1out of 5
1076,混沌价值二号,混沌道然,股票策略,"0.7520
2017-10-20",-26.00%,4.23%,--,--,2out of 5
1077,信伟达期权博弈1号,信伟达资产,股票策略,"0.9510
2017-10-27",6.10%,4.22%,--,--,Not provided
1078,君翼量化1号,君翼投资,股票策略,"1.3844
2017-10-27",42.22%,4.21%,--,--,4out of 5
1079,华润信托-裕晋5期,裕晋投资,股票策略,"1.6017
2017-10-20",58.60%,4.21%,--,--,3out of 5
1080,云南信托-聚利46号,路安投资,股票策略,"1.4068
2017-10-20",51.35%,4.21%,--,--,Not provided
1081,中汇金凯5期,中汇金凯,股票策略,"1.3930
2017-10-26",44.33%,4.20%,--,--,3out of 5
1082,牧容优选3号,牧容资产,股票策略,"0.8780
2017-10-27",-12.10%,4.20%,--,--,3out of 5
1083,西域光辉,广东西域投资,股票策略,"0.9280
2017-10-20",-5.60%,4.19%,--,--,Not provided
1084,裕晋22期,裕晋投资,股票策略,"1.0552
2017-10-20",5.09%,4.19%,--,--,Not provided
1085,中信信托-星石12期,星石投资,股票策略,"2.7205
2017-10-20",166.95%,4.19%,--,--,3out of 5
1086,德汇精选3期,广东德汇投资,股票策略,"1.1680
2017-10-20",21.80%,4.19%,--,--,Not provided
1087,格雷成长6号,格雷资产,股票策略,"1.1150
2017-10-20",4.40%,4.19%,--,--,Not provided
1088,巨杉净值线11号,巨杉资产,股票策略,"1.1359
2017-10-26",10.12%,4.19%,--,--,Not provided
1089,山东信托-麦肯特财富,麦肯特中南投资,股票策略,"1.1705
2017-10-20",20.44%,4.19%,--,--,3out of 5
