ranking,fund_short_name,fund_company,investment_strategy,lastest_NAV,cumulative_return,recent_month_return,annalized_return,sharpe_ratio,year_rating
1251,巨牛佳禾一号,广东巨牛投资,复合策略,"0.9660
2017-10-27",-3.70%,0.84%,--,--,Not provided
1252,大岩定增-平安银行2号四期五期,大岩资本,事件驱动,"0.9510
2017-10-20",-3.40%,0.84%,--,--,Not provided
1253,源乘二号,源乘投资,固定收益,"1.1110
2017-10-27",8.90%,0.83%,--,--,3out of 5
1254,淘利策略指数进取2号,淘利资产,管理期货,"1.5337
2017-10-20",103.57%,0.83%,--,--,4out of 5
1255,泛融金东方红3号,泛融金资产,组合策略,"1.1411
2017-10-20",14.04%,0.83%,--,--,5out of 5
1256,航长强债,航长投资,固定收益,"1.1170
2017-10-13",9.80%,0.83%,--,--,Not provided
1257,宏长泰二号,宏长泰投资,相对价值,"1.0517
2017-10-27",6.19%,0.83%,--,--,Not provided
1258,泛融金-太极3号,泛融金资产,组合策略,"1.1090
2017-10-20",10.30%,0.82%,--,--,4out of 5
1259,第二基金中国300指数基金,第二基金,相对价值,"1.2997
2017-10-25",24.24%,0.82%,--,--,4out of 5
1260,紫金麦田收获9号,拾麦资产,相对价值,"1.1580
2017-10-27",11.00%,0.82%,--,--,Not provided
1261,星辰之申毅多策略,申毅投资,相对价值,"1.0533
2017-10-20",4.85%,0.82%,--,--,Not provided
1262,长流稳进八号,长流资本,固定收益,"1.0582
2017-10-27",4.97%,0.82%,--,--,Not provided
1263,鸣熙致远一号,鸣熙资产,管理期货,"1.2067
2017-10-20",21.47%,0.81%,--,--,Not provided
1264,大岩定增-鹏华7号,大岩资本,事件驱动,"0.4930
2017-10-27",-1.42%,0.81%,--,--,Not provided
1265,蓝鲸稳健增利债券,蓝鲸投资,固定收益,"1.0328
2017-10-27",1.72%,0.81%,--,--,Not provided
1266,瑞诚时代周期1号,瑞诚时代投资,固定收益,"1.0483
2017-10-27",4.38%,0.81%,--,--,Not provided
1267,量鑫套利,量鑫投资,相对价值,"1.2560
2017-10-27",24.90%,0.81%,--,--,2out of 5
1268,侏罗纪超龙7号,侏罗纪资产,固定收益,"1.0506
2017-10-27",3.78%,0.81%,--,--,Not provided
1269,微观世界量化对冲一号,微观世界,相对价值,"1.1520
2017-10-27",37.49%,0.81%,--,--,4out of 5
1270,子午尊享睿进,子午投资,复合策略,"1.0465
2017-10-27",4.20%,0.80%,--,--,Not provided
1271,花开富贵FOF基金,本地资本,组合策略,"1.0060
2017-09-29",0.60%,0.80%,--,--,2out of 5
1272,合信稳赢,合信投资,固定收益,"1.0532
2017-10-27",5.64%,0.80%,--,--,Not provided
1273,衍盛全天候,衍盛资产管理,管理期货,"0.9940
2017-10-27",0.80%,0.80%,--,--,Not provided
1274,谦颐高收益债2号,谦颐资产,固定收益,"1.0150
2017-10-20",0.80%,0.80%,--,--,Not provided
1275,翔云精细量化九号,翔云资产,相对价值,"1.0060
2017-10-27",0.90%,0.80%,--,--,Not provided
1276,前海道简量化多策略5号,道简资产,相对价值,"1.1997
2017-10-27",18.96%,0.80%,--,--,5out of 5
1277,搏股通金(泓湖)宏观对冲6号,泓湖投资,宏观策略,"1.1370
2017-10-20",14.00%,0.80%,--,--,2out of 5
1278,泛融金-太极2号,泛融金资产,组合策略,"1.2373
2017-10-20",23.02%,0.79%,--,--,3out of 5
1279,金柏2期,大柏地投资,宏观策略,"1.0176
2017-10-27",0.23%,0.79%,--,--,Not provided
1280,泓信全景七号量化多策略,泓信投资,复合策略,"0.9617
2017-10-27",1.81%,0.79%,--,--,Not provided
1281,白鹭博学一期,白鹭资管,复合策略,"1.1660
2017-10-19",14.60%,0.79%,--,--,Not provided
1282,搏股通金17(大岩资本)组合定增4号一期,大岩资本,事件驱动,"0.8870
2017-10-27",-10.60%,0.79%,--,--,Not provided
1283,搏股通金17(大岩资本)组合定增4号二期,大岩资本,事件驱动,"0.8870
2017-10-27",-10.60%,0.79%,--,--,Not provided
1284,蓝鲸强债稳进11号,蓝鲸投资,固定收益,"1.0350
2017-10-27",2.40%,0.79%,--,--,Not provided
1285,品正理翔量化CTA,品正资产,管理期货,"1.1341
2017-10-27",12.74%,0.79%,--,--,4out of 5
1286,熠生定增拾玖号,永安基金,事件驱动,"1.0300
2017-10-27",2.50%,0.79%,--,--,Not provided
1287,一米FOF基金,北京一米投资,管理期货,"1.0290
2017-10-27",2.50%,0.79%,--,--,Not provided
1288,因诺兴泰1号,因诺资产,复合策略,"1.0124
2017-09-29",1.24%,0.79%,--,--,Not provided
1289,正则基金,领望投资,复合策略,"1.2854
2017-10-20",27.00%,0.79%,--,--,3out of 5
1290,海棠-阿比特量化对冲1号,阿比特资本,相对价值,"1.0536
2017-09-29",5.36%,0.78%,--,--,Not provided
1291,凯聪多策略对冲1号,凯聪投资,复合策略,"1.1570
2017-10-27",15.70%,0.78%,--,--,4out of 5
1292,光明一号,喜贤资产,复合策略,"1.0480
2017-10-27",3.00%,0.78%,--,--,Not provided
1293,朴石成长2期,朴石投资,复合策略,"1.1600
2017-09-29",16.00%,0.78%,--,--,3out of 5
1294,大岩定增3号M,大岩资本,事件驱动,"1.0270
2017-10-27",3.20%,0.78%,--,--,Not provided
1295,财富策略1号,惠丰资产,相对价值,"1.1415
2017-10-27",11.17%,0.78%,--,--,4out of 5
1296,国道拾麦9号,国道基金,复合策略,"1.2430
2017-10-27",16.50%,0.78%,--,--,Not provided
1297,合信安胜,合信投资,固定收益,"1.0522
2017-10-27",4.99%,0.78%,--,--,Not provided
