Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
20941,长城中达1号,组合策略,查看,长城证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20942,天堂硅谷定增-祥瑞4号,非策略类,查看,天堂硅谷资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20943,融稳达1号,股票策略,查看,创势翔投资,查看,-5.74%,查看,0.9332,-6.68%,查看,查看,查看,,,
20944,陆家嘴财富-远洋基金5号,非策略类,查看,陆家嘴财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20945,灵通丰利90天28号,其他,查看,申万宏源证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20946,清水源优选,股票策略,查看,清水源投资,查看,--,查看,0.7500,-25.00%,查看,查看,查看,,,
20947,融泰趋势1,管理期货,查看,融泰汇通,查看,9.92%,查看,2.5367,153.67%,查看,查看,查看,,,
20948,财通月月福普通级,债券策略,查看,财通证券,查看,41.64%,查看,1.6009,586.77%,查看,查看,查看,,,
20949,海富通领先成长,股票策略,查看,海富通,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20950,高毅晓峰1号睿远9号基金,股票策略,查看,高毅资产,查看,10.50%,查看,1.0924,9.24%,查看,查看,查看,,,
20951,科闻T客一号基金,股票策略,查看,仙童投资,查看,--,查看,1.9345,93.45%,查看,查看,查看,,,
20952,庸恳善智恒翔1号基金,其他,查看,庸恳资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20953,民森-诺亚三号,股票策略,查看,民森投资,查看,-25.04%,查看,0.5603,-43.97%,查看,查看,查看,,,
20954,元昊阿尔法基金,组合策略,查看,元昊投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
20955,厚生定增二号,定向增发,查看,厚生资产,查看,-2.01%,查看,0.9770,-2.30%,查看,查看,查看,,,
20956,稳健分层1504E期升阳8期,股票策略,查看,升阳资产,查看,-2.62%,查看,1.0686,6.86%,查看,查看,查看,,,
20957,安盈中钰10号,股票策略,查看,中仁资产,查看,-8.27%,查看,1.0013,0.13%,查看,查看,查看,,,
20958,乾立-大岩量化定增1号,股票策略,查看,乾立股权,查看,5.80%,查看,1.0580,5.80%,查看,查看,查看,,,
20959,丹阳对冲2期,对冲策略,查看,丹阳投资,查看,-21.99%,查看,0.7520,-24.80%,查看,查看,查看,,,
20960,前海瑞旗新瑞成长1号,定向增发,查看,瑞旗资产,查看,-0.20%,查看,0.9940,-0.60%,查看,查看,查看,,,
20961,建泓盈富二号,股票策略,查看,建泓时代,查看,63.32%,查看,1.5450,54.50%,查看,查看,查看,,,
