Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
2401,私募工场股惑人生一期,股票策略,查看,斯诺波投资,查看,16.88%,查看,1.1770,17.70%,查看,查看,查看,,,
2402,黄金优选28期7号,股票策略,查看,神农投资,查看,20.69%,查看,1.0015,0.15%,查看,查看,查看,,,
2403,民生财富成长1期,股票策略,查看,民生财富,查看,19.11%,查看,1.0160,1.60%,查看,查看,查看,,,
2404,安蕴6期(盈峰成长)A类,股票策略,查看,盈峰资本,查看,11.50%,查看,1.6513,65.13%,查看,查看,查看,,,
2405,倍霖山如意一号,组合策略,查看,倍霖山投资,查看,18.05%,查看,0.9220,-7.80%,查看,查看,查看,,,
2406,千象趋势2号,多策略,查看,千象资产,查看,20.65%,查看,1.2910,29.10%,查看,查看,查看,,,
2407,汇信-中欧瑞博5号,股票策略,查看,中欧瑞博,查看,11.70%,查看,1.1315,13.15%,查看,查看,查看,,,
2408,高瑞思源先锋1期,股票策略,查看,高瑞思源,查看,9.05%,查看,1.1450,14.50%,查看,查看,查看,,,
2409,创瀛1号基金,股票策略,查看,创瀛投资,查看,14.22%,查看,0.7673,-23.27%,查看,查看,查看,,,
2410,黄金优选28期2号,股票策略,查看,神农投资,查看,20.63%,查看,1.1439,14.39%,查看,查看,查看,,,
2411,冰剑10号之冰剑专享3期,对冲策略,查看,绍兴冰剑投资,查看,15.81%,查看,1.0681,38.51%,查看,查看,查看,,,
2412,万霁七号,多策略,查看,万霁资产,查看,12.44%,查看,1.1660,16.60%,查看,查看,查看,,,
2413,榜样多策略对冲,多策略,查看,榜样投资,查看,11.35%,查看,1.2070,20.70%,查看,查看,查看,,,
2414,君翼量化1号基金,多策略,查看,君翼资本,查看,6.35%,查看,1.3979,39.79%,查看,查看,查看,,,
2415,系数投资-鑫合1号,股票策略,查看,系数投资,查看,--,查看,1.1740,17.40%,查看,查看,查看,,,
2416,悟空对冲量化四期,对冲策略,查看,悟空投资,查看,13.48%,查看,1.2290,22.90%,查看,查看,查看,,,
2417,黄金优选28期11号,股票策略,查看,神农投资,查看,20.59%,查看,1.0184,1.84%,查看,查看,查看,,,
2418,博颐精选3,股票策略,查看,博颐资产,查看,9.50%,查看,2.5612,156.12%,查看,查看,查看,,,
2419,泽源3号,股票策略,查看,泽源资产,查看,14.14%,查看,1.1976,19.76%,查看,查看,查看,,,
2420,朴石3期,股票策略,查看,朴石投资,查看,23.55%,查看,1.5356,53.56%,查看,查看,查看,,,
2421,中兴汇金3期,股票策略,查看,中兴汇金投资,查看,17.13%,查看,0.8520,-14.80%,查看,查看,查看,,,
2422,富尊中证800指数增强,多策略,查看,光大富尊投资,查看,12.22%,查看,1.1570,40.70%,查看,查看,查看,,,
2423,蓝金1号,多策略,查看,深海石投资,查看,16.96%,查看,3.3720,237.20%,查看,查看,查看,,,
2424,光大阳光集结号债券分级1期,债券策略,查看,光大证券,查看,50.27%,查看,1.5027,50.27%,查看,查看,查看,,,
2425,少数派新三板尊享2号A类,定向增发,查看,少薮派投资,查看,17.04%,查看,1.4700,47.00%,查看,查看,查看,,,
2426,涌津涌鑫1号,股票策略,查看,涌津投资,查看,16.60%,查看,1.1730,17.30%,查看,查看,查看,,,
2427,菁世2号,多策略,查看,益菁汇资产,查看,3.74%,查看,1.2210,22.10%,查看,查看,查看,,,
2428,蓝海1号,股票策略,查看,东航金融,查看,16.20%,查看,1.3840,38.40%,查看,查看,查看,,,
2429,黄金优选28期10号,股票策略,查看,神农投资,查看,20.50%,查看,1.0152,1.52%,查看,查看,查看,,,
2430,京华优选四号,组合策略,查看,嘉实资本,查看,9.52%,查看,1.2770,27.70%,查看,查看,查看,,,
2431,腾龙一号,股票策略,查看,鑫富资产,查看,7.68%,查看,1.2344,123.44%,查看,查看,查看,,,
2432,平安财富黄金优选28期9号,股票策略,查看,神农投资,查看,20.46%,查看,0.9475,-5.25%,查看,查看,查看,,,
2433,泓澄投资5号,股票策略,查看,泓澄投资,查看,11.75%,查看,1.1848,18.48%,查看,查看,查看,,,
2434,黄金优选28期13号,股票策略,查看,神农投资,查看,20.47%,查看,0.9980,-0.20%,查看,查看,查看,,,
2435,融满1号基金,多策略,查看,融满投资,查看,8.55%,查看,0.7490,-25.10%,查看,查看,查看,,,
2436,世诚-诚博主动管理,股票策略,查看,世诚投资,查看,13.82%,查看,1.1767,17.67%,查看,查看,查看,,,
2437,汇泽至远一期,多策略,查看,中科汇泽,查看,13.50%,查看,1.1584,15.84%,查看,查看,查看,,,
2438,稳博顽石系列进取型,管理期货,查看,稳博投资,查看,10.09%,查看,1.2049,20.49%,查看,查看,查看,,,
2439,毅木卓越理财1号,股票策略,查看,毅木资产,查看,12.14%,查看,1.2290,22.90%,查看,查看,查看,,,
2440,泰盈,股票策略,查看,恒丰泰石,查看,14.17%,查看,1.2570,65.70%,查看,查看,查看,,,
2441,汇信-中欧瑞博4号,股票策略,查看,中欧瑞博,查看,11.28%,查看,1.0835,8.35%,查看,查看,查看,,,
2442,泊通尊享C期,股票策略,查看,泊通投资,查看,14.95%,查看,1.1819,18.19%,查看,查看,查看,,,
2443,泊通尊享A期,股票策略,查看,平安阖鼎投资,查看,14.95%,查看,1.1819,18.19%,查看,查看,查看,,,
2444,泊通尊享B期,股票策略,查看,泊通投资,查看,14.95%,查看,1.1819,18.19%,查看,查看,查看,,,
2445,泊通风险缓冲,其他,查看,泊通投资,查看,14.94%,查看,1.1818,18.18%,查看,查看,查看,,,
2446,泊通尊享D期,股票策略,查看,泊通投资,查看,14.94%,查看,1.1818,18.18%,查看,查看,查看,,,
2447,黄金优选17期1号,股票策略,查看,盈峰资本,查看,11.73%,查看,1.6465,64.65%,查看,查看,查看,,,
2448,黄金优选17期3号,股票策略,查看,盈峰资本,查看,11.73%,查看,1.6465,64.65%,查看,查看,查看,,,
2449,亚商星纪,多策略,查看,星纪资产,查看,--,查看,1.1269,12.69%,查看,查看,查看,,,
2450,黄金优选17期2号,股票策略,查看,盈峰资本,查看,11.72%,查看,1.6464,64.64%,查看,查看,查看,,,
2451,幻方钱海01号,多策略,查看,幻方量化,查看,12.46%,查看,1.5890,58.90%,查看,查看,查看,,,
2452,凯丰双诚宏观对冲9-12号,其他,查看,凯丰投资,查看,23.47%,查看,1.2991,29.91%,查看,查看,查看,,,
2453,华元恒道灵活配置一期,对冲策略,查看,华元恒道投资,查看,19.29%,查看,1.2060,20.60%,查看,查看,查看,,,
2454,黄金优选28期1号,股票策略,查看,神农投资,查看,20.26%,查看,1.3180,31.80%,查看,查看,查看,,,
2455,融稳达3号新三板投资基金,定向增发,查看,中融鼎新投资,查看,-1.27%,查看,0.4581,-54.19%,查看,查看,查看,,,
2456,厚德载物2号,股票策略,查看,厚生创业,查看,10.68%,查看,1.1832,18.32%,查看,查看,查看,,,
2457,安蕴6期B类,股票策略,查看,盈峰资本,查看,11.50%,查看,3.1550,215.50%,查看,查看,查看,,,
2458,新价值15期,股票策略,查看,新价值投资,查看,5.40%,查看,2.7085,170.85%,查看,查看,查看,,,
2459,棣华一号,股票策略,查看,上海棣华,查看,20.49%,查看,1.0625,6.25%,查看,查看,查看,,,
2460,朱雀18期,股票策略,查看,朱雀投资,查看,14.57%,查看,2.6274,162.74%,查看,查看,查看,,,
2461,深乾凌凌九进取基金,股票策略,查看,东莞深乾,查看,18.65%,查看,1.2470,37.60%,查看,查看,查看,,,
2462,远策至尊10号,股票策略,查看,远策投资,查看,13.61%,查看,2.0587,105.87%,查看,查看,查看,,,
2463,日进斗金5号,股票策略,查看,盈峰资本,查看,10.01%,查看,0.8090,-19.10%,查看,查看,查看,,,
2464,冰剑10号,对冲策略,查看,绍兴冰剑投资,查看,17.52%,查看,1.0640,102.41%,查看,查看,查看,,,
2465,重阳7期,股票策略,查看,重阳投资,查看,--,查看,2.0615,106.15%,查看,查看,查看,,,
2466,桦斯俐新成长进取型1号,股票策略,查看,桦斯俐,查看,7.01%,查看,1.0840,8.40%,查看,查看,查看,,,
2467,知几灵活配置2,对冲策略,查看,知几投资,查看,8.89%,查看,1.6250,62.50%,查看,查看,查看,,,
2468,神农医药对冲A,对冲策略,查看,神农投资,查看,16.03%,查看,1.2090,20.90%,查看,查看,查看,,,
2469,衍航3号,股票策略,查看,北京衍航,查看,12.27%,查看,1.2402,24.02%,查看,查看,查看,,,
2470,金蕴52期,股票策略,查看,中欧瑞博,查看,10.34%,查看,1.9781,97.81%,查看,查看,查看,,,
2471,观富策略1号,股票策略,查看,观富资产,查看,10.54%,查看,1.1750,29.50%,查看,查看,查看,,,
2472,新价值成长一期(A类),股票策略,查看,新价值投资,查看,8.96%,查看,1.3893,38.93%,查看,查看,查看,,,
2473,乐正资本乐享,多策略,查看,乐正资本,查看,--,查看,1.1661,16.61%,查看,查看,查看,,,
2474,天衍壹期,股票策略,查看,赢乃进投资,查看,7.67%,查看,1.3900,39.00%,查看,查看,查看,,,
2475,华创巨杉净值线10号,对冲策略,查看,华创证券,查看,16.96%,查看,1.1046,10.46%,查看,查看,查看,,,
2476,信璞投资-余粮101,股票策略,查看,上海信璞投资,查看,16.06%,查看,1.1690,17.90%,查看,查看,查看,,,
2477,北方信托锦珏三号,股票策略,查看,江苏锦珏,查看,2.83%,查看,1.4292,42.92%,查看,查看,查看,,,
2478,广东凌日中国梦证券,股票策略,查看,凌日资产,查看,7.81%,查看,1.1684,16.84%,查看,查看,查看,,,
2479,领星世诚股票策略,股票策略,查看,领星资本,查看,13.12%,查看,1.1349,13.49%,查看,查看,查看,,,
2480,资臻1号,股票策略,查看,资臻年丰,查看,8.74%,查看,0.9210,-7.90%,查看,查看,查看,,,
2481,盛冠达黄金套利1号,套利策略,查看,盛冠达投资,查看,3.70%,查看,1.2050,20.50%,查看,查看,查看,,,
2482,广发原驰·欧菲光1号,股票策略,查看,广发资产,查看,3.49%,查看,1.0339,3.39%,查看,查看,查看,,,
2483,品质生活2期,组合策略,查看,宏流投资,查看,18.37%,查看,0.6657,16.57%,查看,查看,查看,,,
2484,重阳精选B号,股票策略,查看,重阳投资,查看,--,查看,2.0541,105.41%,查看,查看,查看,,,
2485,观富价值一号,股票策略,查看,观富资产,查看,9.96%,查看,1.1590,39.90%,查看,查看,查看,,,
2486,正隆财富-财富三号,股票策略,查看,正隆财富,查看,10.73%,查看,1.1870,18.70%,查看,查看,查看,,,
2487,神农尊享A期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2488,神农尊享C期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2489,神农尊享B期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2490,神农尊享E期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2491,神农尊享D期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2492,神农尊享M期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2493,神农尊享L期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2494,神农尊享K期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2495,神农尊享J期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2496,神农尊享I期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2497,神农尊享H期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2498,神农尊享G期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2499,神农尊享F期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2500,神农尊享O期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2501,神农尊享N期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2502,神农尊享Q期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2503,神农尊享P期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2504,神农尊享R期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2505,神农尊享T期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2506,神农尊享S期,股票策略,查看,神农投资,查看,20.36%,查看,1.0822,8.22%,查看,查看,查看,,,
2507,兴云圆运动5号,其他,查看,兴云投资,查看,17.56%,查看,0.9240,-7.60%,查看,查看,查看,,,
2508,锐进25期盈信瑞峰1号,对冲策略,查看,盈信瑞峰投资,查看,12.69%,查看,1.1461,14.61%,查看,查看,查看,,,
2509,新阳壹号,股票策略,查看,新阳基金,查看,1.47%,查看,1.3576,35.76%,查看,查看,查看,,,
2510,云信私募工场（七期）第2期（甄投资本1号）,股票策略,查看,甄投资产,查看,--,查看,1.1276,12.76%,查看,查看,查看,,,
2511,静好壹号,股票策略,查看,无忧股权,查看,16.41%,查看,1.0589,5.89%,查看,查看,查看,,,
2512,扬子三号,股票策略,查看,世诚投资,查看,13.80%,查看,1.0861,237.08%,查看,查看,查看,,,
2513,泓澄尊享G期,股票策略,查看,泓澄投资,查看,10.63%,查看,1.1813,18.13%,查看,查看,查看,,,
2514,泓澄尊享J期,股票策略,查看,泓澄投资,查看,10.63%,查看,1.1610,16.10%,查看,查看,查看,,,
2515,泓澄尊享H期,股票策略,查看,泓澄投资,查看,10.63%,查看,1.1813,18.13%,查看,查看,查看,,,
2516,泓澄尊享A期,股票策略,查看,泓澄投资,查看,10.62%,查看,1.2912,29.12%,查看,查看,查看,,,
2517,泓澄尊享K期,股票策略,查看,泓澄投资,查看,10.63%,查看,1.1581,15.81%,查看,查看,查看,,,
2518,泓澄尊享I期,股票策略,查看,泓澄投资,查看,10.63%,查看,1.1609,16.09%,查看,查看,查看,,,
2519,易源一期,多策略,查看,易源资本,查看,19.86%,查看,1.1650,16.50%,查看,查看,查看,,,
2520,彤源6号,股票策略,查看,彤源投资,查看,14.42%,查看,2.3930,139.30%,查看,查看,查看,,,
2521,丹阳对冲3期,对冲策略,查看,丹阳投资,查看,14.87%,查看,0.8730,-12.70%,查看,查看,查看,,,
2522,方圆财富2号,多策略,查看,新疆方圆达创,查看,20.90%,查看,1.6140,61.40%,查看,查看,查看,,,
2523,汇信-中欧瑞博3号,股票策略,查看,中欧瑞博,查看,11.17%,查看,1.0880,8.80%,查看,查看,查看,,,
2524,民森先进生产力顺迎D期,股票策略,查看,民森投资,查看,11.12%,查看,0.9090,-9.10%,查看,查看,查看,,,
2525,盈定六号,对冲策略,查看,盈阳资产,查看,11.10%,查看,1.0910,9.10%,查看,查看,查看,,,
2526,私募工场弘德瑞远一号,多策略,查看,斯诺波,查看,10.61%,查看,1.1680,16.80%,查看,查看,查看,,,
2527,雷根混合型,股票策略,查看,雷根投资,查看,10.27%,查看,1.4239,42.39%,查看,查看,查看,,,
2528,信璞余粮101B,股票策略,查看,信璞投资,查看,-9.40%,查看,1.1667,17.67%,查看,查看,查看,,,
2529,磐海持盈1号基金,股票策略,查看,磐海投资,查看,18.04%,查看,1.2427,69.26%,查看,查看,查看,,,
2530,国道永泉7号,多策略,查看,国道资产,查看,17.94%,查看,1.1700,17.00%,查看,查看,查看,,,
2531,知几投资多策略1期1号,多策略,查看,知几投资,查看,11.48%,查看,1.3110,31.10%,查看,查看,查看,,,
