Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
21001,东莞旗峰财富7号优先级,其他,查看,东莞证券,查看,0.00%,查看,1.0372,3.72%,查看,查看,查看,,,
21002,国金慧泉精选对冲7号,股票策略,查看,国金证券,查看,21.43%,查看,1.1848,18.48%,查看,查看,查看,,,
21003,重阳A股阿尔法对冲基金,套利策略,查看,重阳投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21004,海通汇智1号优先级3月期1号,组合策略,查看,海通证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21005,恒泰创富36号C,股票策略,查看,恒泰证券,查看,--,查看,2.2574,125.74%,查看,查看,查看,,,
21006,灵通丰利360天21号,其他,查看,申万宏源证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21007,灵通丰利180天41号,其他,查看,申万宏源证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21008,中卓大健康6期,其他,查看,中卓投资,查看,-16.53%,查看,0.8840,-11.60%,查看,查看,查看,,,
21009,华宝华利一号,债券策略,查看,华宝证券,查看,4.29%,查看,1.1208,17.37%,查看,查看,查看,,,
21010,鼎锋另类策略1期基金,股票策略,查看,鼎锋海川,查看,3.20%,查看,1.4530,45.30%,查看,查看,查看,,,
21011,东吴汇信17号,其他,查看,东吴证券,查看,1.15%,查看,1.0431,14.57%,查看,查看,查看,,,
21012,理成风景灵活对冲基金,套利策略,查看,理成资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21013,常春藤12期,股票策略,查看,常春藤资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21014,海通海富24号A,股票策略,查看,海通证券,查看,3.73%,查看,1.1087,10.87%,查看,查看,查看,,,
21015,齐鲁言起1号,多策略,查看,言起投资,查看,3.45%,查看,1.3810,38.10%,查看,查看,查看,,,
21016,钜洲资产智富企业发展基金六期,其他,查看,钜洲资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21017,新方程启辰天使股权FOF基金1期,非策略类,查看,新方程投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21018,双翼对冲2号,股票策略,查看,双翼投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21019,稳健优选22号,债券策略,查看,山西证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21020,恒天稳利2号中融融景8号5期,组合策略,查看,恒天财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21021,元葵天时,管理期货,查看,元葵资产,查看,-6.31%,查看,2.8113,181.13%,查看,查看,查看,,,
21022,华福清水源13号,股票策略,查看,清水源投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21023,润金111号单元91DZ,股票策略,查看,红岭创投,查看,--,查看,1.1101,11.01%,查看,查看,查看,,,
21024,呼啸中融稳健型CTA,管理期货,查看,前海呼啸资本,查看,26.23%,查看,1.3090,30.90%,查看,查看,查看,,,
21025,汇信科汇1号,股票策略,查看,海富通,查看,12.50%,查看,1.2600,26.00%,查看,查看,查看,,,
21026,高毅晓峰1号睿远3号基金,股票策略,查看,高毅资产,查看,10.51%,查看,1.0925,9.25%,查看,查看,查看,,,
21027,巨富鸿运合伙,其他,查看,环球巨富,查看,--,查看,0.9053,-9.47%,查看,查看,查看,,,
21028,弘尚新成长灵活配置1号,股票策略,查看,弘尚资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21029,交银施罗德多策略,其他,查看,交银施罗德,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21030,外贸信托弘尚投资,股票策略,查看,弘尚资产,查看,10.35%,查看,1.6022,60.22%,查看,查看,查看,,,
