Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
11671,友陶陶陶1号,股票策略,查看,友陶资产,查看,4.49%,查看,0.9780,-2.20%,查看,查看,查看,,,
11672,恒天财富鼎龙精选23号基金,组合策略,查看,恒天财富,查看,-8.13%,查看,0.8195,-18.05%,查看,查看,查看,,,
11673,理成定向21号,组合策略,查看,理成资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11674,展博恒天专享7期基金,股票策略,查看,展博投资,查看,0.14%,查看,0.8313,-16.87%,查看,查看,查看,,,
11675,锦臻鸿上1号,其他,查看,锦臻资产,查看,-20.63%,查看,0.7350,-26.50%,查看,查看,查看,,,
11676,神凯1号,其他,查看,神凯投资,查看,-3.46%,查看,0.8090,-19.10%,查看,查看,查看,,,
11677,泽沃2-0032号,股票策略,查看,思道科投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11678,前海壹号商铺收益权二号,其他,查看,金色木棉,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11679,金永汇丰期权套利一号,套利策略,查看,万葵资产,查看,--,查看,0.7676,-23.24%,查看,查看,查看,,,
11680,硅谷天堂盈东1号,定向增发,查看,硅谷天堂资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11681,歌斐远浩一期四号,其他,查看,歌斐远浩资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11682,淳信宏图私有化投资二期,其他,查看,淳信宏图投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11683,橙叶柒号现金管理,股票策略,查看,橙叶投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11684,上善量化稳健型,套利策略,查看,上善资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11685,金苹果1号,多策略,查看,高频投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11686,国投精选保理,其他,查看,深圳国投,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11687,上海财得.环龙港湾一期,股票策略,查看,朗峰股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11688,和瑾稳赢5号,股票策略,查看,和瑾资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11689,嘉赢蓝三木月专项股权,其他,查看,中天嘉华资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11690,翔阳创富2号,其他,查看,翔阳创富资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11691,兆天金牛精选6号,股票策略,查看,兆天投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11692,凯纳鸿飞1号,股票策略,查看,凯纳资本,查看,--,查看,1.0233,2.33%,查看,查看,查看,,,
11693,金苹果7号,多策略,查看,高频投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11694,展博点金1号,股票策略,查看,展博投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11695,禹域一号,股票策略,查看,禹域资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11696,鲸品优选5号,股票策略,查看,巨鲸财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11697,证大价值三期,股票策略,查看,证大投资,查看,-3.94%,查看,0.6894,-31.06%,查看,查看,查看,,,
11698,景泰复利回报二期,股票策略,查看,景泰利丰,查看,2.36%,查看,1.6533,65.33%,查看,查看,查看,,,
11699,汇金壹号,股票策略,查看,汇金拓资产,查看,-2.75%,查看,0.9540,-4.60%,查看,查看,查看,,,
11700,植瑞中植创盈1号24型,股票策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
