Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
30001,福慧恒裕3期基金,股票策略,查看,福慧恒裕,查看,0.63%,查看,0.9722,-2.78%,查看,查看,查看,,,
30002,阿巴马正量对冲,对冲策略,查看,阿巴马资产,查看,2.00%,查看,1.0180,1.80%,查看,查看,查看,,,
30003,豪笠稳健成长3号,多策略,查看,豪笠资产,查看,-1.26%,查看,0.9715,-2.85%,查看,查看,查看,,,
30004,瑞颐稳赢1号,股票策略,查看,瑞颐投资,查看,-0.82%,查看,1.0171,9.13%,查看,查看,查看,,,
30005,金典新繁荣一号基金,股票策略,查看,金典银桥,查看,-10.33%,查看,1.0160,68.80%,查看,查看,查看,,,
30006,国信期货-亿源阿超1号,管理期货,查看,阿超投资,查看,-2.64%,查看,1.4750,47.50%,查看,查看,查看,,,
30007,新方程申毅证券投资基金,对冲策略,查看,申毅投资,查看,-1.84%,查看,1.0120,1.20%,查看,查看,查看,,,
30008,中信建投-金晟5号债券分级,债券策略,查看,合晟资产,查看,-1.66%,查看,1.0292,2.92%,查看,查看,查看,,,
30009,汇泽扬帆1号,对冲策略,查看,易昌投资,查看,-0.39%,查看,1.0090,0.90%,查看,查看,查看,,,
30010,元普对冲9号B,多策略,查看,元普投资,查看,-1.97%,查看,0.9803,-1.97%,查看,查看,查看,,,
30011,北银丰业丰盈1号-象限1号,股票策略,查看,象限资产,查看,0.20%,查看,1.0070,0.70%,查看,查看,查看,,,
30012,信复创值2号,股票策略,查看,信复创值,查看,4.93%,查看,1.9034,90.34%,查看,查看,查看,,,
30013,东吴康得新1号,股票策略,查看,东吴证券,查看,5.77%,查看,1.4450,52.43%,查看,查看,查看,,,
30014,乐依资产对冲3号,管理期货,查看,乐依资产,查看,0.22%,查看,0.9120,-8.80%,查看,查看,查看,,,
30015,创智恒惠1号,多策略,查看,亿海源资产,查看,-0.30%,查看,1.0000,0.00%,查看,查看,查看,,,
30016,正前方机器虎量化对冲2号,对冲策略,查看,正前方基金,查看,-1.07%,查看,1.0529,5.29%,查看,查看,查看,,,
30017,泓信多策略对冲尊享K期,多策略,查看,泓信投资,查看,-1.90%,查看,0.9891,-1.09%,查看,查看,查看,,,
30018,沣青扬2号,股票策略,查看,沣青扬资产,查看,7.08%,查看,0.9980,-0.20%,查看,查看,查看,,,
30019,汇势通2期,债券策略,查看,汇势通投资,查看,-4.30%,查看,0.9971,-0.29%,查看,查看,查看,,,
30020,奥特西1期,股票策略,查看,奥特西,查看,-2.65%,查看,0.9971,-0.29%,查看,查看,查看,,,
30021,坤元永利FOF三期3号A,组合策略,查看,坤元资产,查看,-1.09%,查看,0.9604,-3.96%,查看,查看,查看,,,
30022,富润1期,股票策略,查看,富润德利,查看,3.11%,查看,0.9960,-0.40%,查看,查看,查看,,,
