Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
43501,意隆新材料产业发展二期,股票策略,查看,意隆财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43502,映雪吴钩15号,股票策略,查看,映雪投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43503,迎水潜龙8号,股票策略,查看,迎水投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43504,浙江和熙适中混合1号,管理期货,查看,和熙资产,查看,--,查看,1.0047,0.47%,查看,查看,查看,,,
43505,中昇千阳夸父一号,股票策略,查看,恒邦兆丰,查看,--,查看,0.9677,-3.23%,查看,查看,查看,,,
43506,伯兄元兴,股票策略,查看,伯兄资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43507,白驹二号,股票策略,查看,卓凯投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43508,埃尔瓦量化多策略1号,多策略,查看,中融银泰,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43509,遁盈一号,股票策略,查看,遁盈资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43510,朗道量化绝对ABS001,股票策略,查看,朗道投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43511,山谷二号,股票策略,查看,卓凯投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43512,光焱财付通2号契约型私募,股票策略,查看,光焱股权投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43513,天堂硅谷-全权委托8号,股票策略,查看,天堂硅谷,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43514,淘利多策略对冲投资1期,多策略,查看,淘利资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43515,合世家专项7020GS号,股票策略,查看,天恩成合,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43516,前海德润旺马稳健壹号,股票策略,查看,深圳前海聚能,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43517,高毅国鹭精选2期,股票策略,查看,高毅资产,查看,--,查看,1.0486,4.86%,查看,查看,查看,,,
43518,宜春锂电,股票策略,查看,谷春投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43519,成泉汇涌八期尊享AK期,股票策略,查看,成泉资本,查看,--,查看,1.0058,0.58%,查看,查看,查看,,,
43520,弘博一号,股票策略,查看,智友汇富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43521,和盈片叶,其他,查看,和信盈通投资,查看,-1.94%,查看,1.3140,31.40%,查看,查看,查看,,,
43522,上海领市行1期,股票策略,查看,领市行投资,查看,2.79%,查看,0.8483,-15.17%,查看,查看,查看,,,
43523,趣时事件驱动1号B期,股票策略,查看,趣时资管,查看,--,查看,1.2970,29.70%,查看,查看,查看,,,
43524,悦方淂量化鸬鹚1号,股票策略,查看,悦方淂投资,查看,1.10%,查看,1.0100,1.00%,查看,查看,查看,,,
43525,钜安恒大地产南京专项二期,其他,查看,易德臻投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43526,大吾量磁家族四号,股票策略,查看,大吾资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43527,银河资本-金沙12号,股票策略,查看,久银投资,查看,--,查看,0.9880,-1.20%,查看,查看,查看,,,
43528,海天久利混合策略,股票策略,查看,弘熙投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43529,千象磐石8号,多策略,查看,千象资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43530,盛世鲲鹏4号,股票策略,查看,鼎锋盛世投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43531,民生凯悦二号,多策略,查看,中粮期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43532,南华期货-财富1号,管理期货,查看,南华期货,查看,1.70%,查看,1.0130,1.30%,查看,查看,查看,,,
43533,京蓝科技聚英1号,股票策略,查看,浙银资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43534,国富投资股票多空对冲一号,对冲策略,查看,国富投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43535,少数派81号,股票策略,查看,少薮派投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43536,创富财富2号,股票策略,查看,创富财富,查看,--,查看,0.9913,-0.87%,查看,查看,查看,,,
43537,共青城浩嘉投资,定向增发,查看,烟台点金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43538,中电投先融-锐津一号,组合策略,查看,中电投先融,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43539,搏股通金量化9号民晟2期,对冲策略,查看,民晟资产,查看,--,查看,1.0038,0.38%,查看,查看,查看,,,
43540,西部期货-朝阳1号,多策略,查看,西部期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43541,央视综艺分级,股票策略,查看,紫台资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43542,平安财富上汽定增专项,定向增发,查看,平安财富理财,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43543,冠通北纬-双鱼组合1号6期,组合策略,查看,冠通北纬资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43544,致远CTA二十期,管理期货,查看,富善投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43545,歌斐创世南京新城二号,其他,查看,歌斐资产上海,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43546,友莹格1号,股票策略,查看,友莹格资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43547,玺萌财富1号,多策略,查看,玺萌财富,查看,--,查看,1.0650,6.50%,查看,查看,查看,,,
43548,百鑫博威添利1号,股票策略,查看,百鑫博威,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43549,晟昱8号,股票策略,查看,盛世嘉和,查看,-6.08%,查看,0.9500,-5.00%,查看,查看,查看,,,
