Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
40501,瀚信猎鹰12号,股票策略,查看,瀚信资产,查看,--,查看,0.9040,-9.60%,查看,查看,查看,,,
40502,钜安南海方舟,股票策略,查看,易德臻投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40503,朴金三期,股票策略,查看,朴金资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40504,天汶添鑫一号,股票策略,查看,天汶投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40505,涌乐宏观3号,股票策略,查看,涌乐股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40506,等观风险8号,股票策略,查看,等观资产,查看,--,查看,1.0316,3.16%,查看,查看,查看,,,
40507,汇贝股票1号私募,股票策略,查看,汇贝投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40508,圭源砺石御澜进取1号,股票策略,查看,圭源投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40509,合世家专项6010GS号,股票策略,查看,上海殷商,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40510,弘润资产FOF三号尊享一期,股票策略,查看,弘润资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40511,对偶2期,管理期货,查看,领望投资,查看,-5.30%,查看,0.9574,-4.26%,查看,查看,查看,,,
40512,朴素创兴3号,股票策略,查看,朴素资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40513,赢方财智1号,股票策略,查看,赢方资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40514,泛融金-东方红6号,股票策略,查看,泛融金资产,查看,4.89%,查看,1.0930,9.30%,查看,查看,查看,,,
40515,钱景昌杰1号,股票策略,查看,钱景投资,查看,13.44%,查看,1.0290,2.90%,查看,查看,查看,,,
40516,中盈信赢一号,股票策略,查看,中盈基金深圳,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40517,民生财富瑞诚,股票策略,查看,民生财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40518,弦高优选1号,股票策略,查看,弦高资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40519,融义晨光6号,股票策略,查看,融义投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40520,同裕隽盛一号,其他,查看,同裕资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40521,昆顶晟一号,股票策略,查看,昆顶晟,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40522,禾丰1号,股票策略,查看,杰沨投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40523,正前方盛冠达量化套利2号,套利策略,查看,正前方基金,查看,--,查看,0.9266,-7.34%,查看,查看,查看,,,
40524,元和一号,股票策略,查看,瀚晖投资,查看,--,查看,0.9890,-1.10%,查看,查看,查看,,,
40525,上海天歌房产抵押债权,其他,查看,宣煜股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40526,民生财富云程泰1号,股票策略,查看,民生财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40527,纬世财富十一维A号,股票策略,查看,纬世财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40528,捷强供应链1号,股票策略,查看,熠生投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40529,广发合信济宁市城镇化建设,其他,查看,广发合信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40530,厦门文创汇通,定向增发,查看,弘盛远隆,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40531,磐沣C期,股票策略,查看,磐信投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40532,中吉金投-吉祥5号,股票策略,查看,中吉金投,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40533,天元1号,股票策略,查看,通宝投资,查看,--,查看,0.8740,-12.60%,查看,查看,查看,,,
40534,上海涌溢1号,多策略,查看,涌溢股权,查看,--,查看,1.0183,1.83%,查看,查看,查看,,,
40535,富亨金控创市,股票策略,查看,富亨金控,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40536,陆家嘴财富-大河27-5号,股票策略,查看,陆家嘴财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40537,天风天成定增4号B,定向增发,查看,天风天成,查看,-6.50%,查看,2.6131,161.31%,查看,查看,查看,,,
40538,鼎立10号,多策略,查看,中原期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40539,国贸资管源锦5号,多策略,查看,国贸资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
