Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
751-800,Universidad de La Sabana,Colombia,,"<12,000",Private,Comprehensive+
751-800,Universidad Diego Portales (UDP),Chile,,"<30,000",Private,Comprehensive+
751-800,Universidad Simón Bolívar (USB),Venezuela,,"<12,000",Public,Focused
751-800,Universidade Federal de Santa Catarina,Brazil,,">30,000",Public,Comprehensive+
751-800,Universita' degli Studi di Ferrara,Italy,,"<30,000",Public,Comprehensive+
751-800,Università degli Studi di Perugia,Italy,,"<30,000",Public,Comprehensive+
751-800,Università degli studi Roma Tre,Italy,,">30,000",Public,Comprehensive
751-800,University of Lorraine,France,,">30,000",Public,Comprehensive
751-800,Université de Nantes,France,,">30,000",Public,Comprehensive
751-800,Université Lumière Lyon 2,France,,"<30,000",Public,Specialist
751-800,Université Toulouse 1 Capitole,France,,"<30,000",Public,Focused
751-800,Universiti Teknologi MARA - UiTM,Malaysia,,">30,000",Public,Comprehensive
751-800,University of Brescia,Italy,,"<30,000",Public,Focused
751-800,University of Calcutta,India,,"<30,000",Public,Comprehensive
751-800,University of Colombo,Sri Lanka,,"<30,000",Public,Comprehensive
751-800,University of Hertfordshire,United Kingdom,,"<30,000",Public,Comprehensive
751-800,University of Huddersfield,United Kingdom,,"<30,000",Public,Comprehensive
751-800,University of New Hampshire,United States,,"<30,000",Public,Comprehensive
751-800,University of Pécs,Hungary,,"<30,000",Public,Comprehensive+
751-800,University of Salford,United Kingdom,,,,
751-800,University of Southern Queensland,Australia,,"<30,000",Public,Comprehensive
751-800,University of Tulsa,United States,,,,
751-800,Yamaguchi University,Japan,,"<12,000",Public,Comprehensive+
751-800,Yeungnam University,South Korea,,,,
751-800,Yokohama National University,Japan,,"<12,000",Public,Comprehensive
801-1000,Adam Mickiewicz University,Poland,,"<12,000",Public,Comprehensive
801-1000,AGH University of Science and Technology,Poland,,"<12,000",Public,
801-1000,Al Azhar University,Egypt,,">30,000",Public,Comprehensive
801-1000,Alexandru Ioan Cuza University,Romania,,,,
801-1000,"Aligarh Muslim University (AMU), Aligarh",India,,"<30,000",Public,Comprehensive
801-1000,Ankara Üniversitesi,Turkey,,,,
801-1000,Aoyama Gakuin University,Japan,,"<30,000",Private,Comprehensive
801-1000,Athens University of Economics and Business,Greece,,"<12,000",Public,Focused
801-1000,Auburn University,United States,,"<12,000",Public,Focused
801-1000,Australian Catholic University,Australia,,"<30,000",Public,Comprehensive
801-1000,Babes-Bolyai University,Romania,,,,
801-1000,Baku State University,Azerbaijan,,"<30,000",Public,Focused
801-1000,Banaras Hindu University,India,,"<30,000",Public,Comprehensive+
801-1000,Baylor University,United States,,"<30,000",Private,Comprehensive
801-1000,Benemérita Universidad Autónoma de Puebla,Mexico,,"<30,000",Private,Comprehensive
801-1000,Binghamton University SUNY,United States,,"<30,000",Public,Comprehensive
801-1000,"Birla Institute of Technology and Science, Pilani",India,,"<12,000",Private,Comprehensive
801-1000,Birzeit university,"Palestinian Territory, Occupied",,"<12,000",Private,Comprehensive
801-1000,Central South University,China,,">30,000",Public,Comprehensive+
801-1000,Charles Sturt University,Australia,,"<30,000",Public,Comprehensive
801-1000,Chongqing University,China,,,,
801-1000,Chungnam National University,South Korea,,,,
801-1000,Corvinus University of Budapest,Hungary,,,,
801-1000,Cukurova University,Turkey,,">30,000",Public,Comprehensive+
801-1000,Diponegoro University,Indonesia,,,,
801-1000,Vasyl` Stus Donetsk National University,Ukraine,,,,
801-1000,Doshisha University,Japan,,"<30,000",Private,Comprehensive
801-1000,Edinburgh Napier University,United Kingdom,,"<12,000",Public,Comprehensive
801-1000,Feng Chia University,Taiwan,,"<30,000",Private,Focused
801-1000,Fordham University,United States,,,,
801-1000,Fu Jen Catholic University,Taiwan,,"<30,000",Private,Comprehensive+
801-1000,Gazi Üniversitesi,Turkey,,,,
801-1000,George Mason University,United States,,"<30,000",Public,Comprehensive
801-1000,Istanbul University,Turkey,,">30,000",Public,Comprehensive+
801-1000,Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,,,,
801-1000,Kent State University,United States,,"<30,000",Public,
801-1000,Khon Kaen University,Thailand,,">30,000",Public,Comprehensive+
801-1000,King Mongkut's University of Technology Thonburi,Thailand,,,Private,
801-1000,Kyushu Institute of Technology,Japan,,"<12,000",Public,Focused
801-1000,University of Lodz,Poland,,,,
801-1000,London South Bank University,United Kingdom,,"<12,000",,
801-1000,Makerere University,Uganda,,">30,000",Public,Comprehensive+
801-1000,Manchester Metropolitan University,United Kingdom,,"<30,000",Public,Comprehensive
801-1000,Marquette University,United States,,"<12,000",Private,Comprehensive
801-1000,Meiji University,Japan,,">30,000",Private,Comprehensive
801-1000,Miami University,United States,,,,
801-1000,New Jersey Institute of Technology (NJIT),United States,,"<12,000",Public,Comprehensive
801-1000,Nicolaus Copernicus University,Poland,,,,
801-1000,North-West University,South Africa,,">30,000",Public,Comprehensive
801-1000,Nottingham Trent University,United Kingdom,,,,
801-1000,Novosibirsk State Technical University,Russia,,"<30,000",Public,Focused
801-1000,Ochanomizu University,Japan,,,,
801-1000,Ohio University,United States,,"<30,000",Public,Comprehensive
801-1000,Oklahoma State University,United States,,"<30,000",Public,Comprehensive
801-1000,Panjab University,India,,,,
801-1000,Plekhanov Russian University of Economics,Russia,,"<30,000",Public,Specialist
801-1000,Pontificia Universidad Católica del Ecuador (PUCE),Ecuador,,,,
801-1000,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Brazil,,"<30,000",Private,Comprehensive+
801-1000,Prince of Songkla University,Thailand,,,,
801-1000,Ritsumeikan University,Japan,,">30,000",Private,Comprehensive
801-1000,Ryerson University,Canada,,">30,000",Public,Comprehensive
801-1000,Saitama University,Japan,,"<12,000",Public,Comprehensive
801-1000,Samara National Research University (Samara University),Russia,,"<12,000",Public,Focused
801-1000,San Diego State University,United States,,,,
801-1000,Seoul National University of Science and Technology,South Korea,,"<12,000",,
801-1000,Institute of Technology Sepuluh Nopember,Indonesia,,"<30,000",Public,Specialist
801-1000,Shahid Beheshti University (SBU),"Iran, Islamic Republic of",,,,
801-1000,Shinshu University,Japan,,"<12,000",Public,Comprehensive+
801-1000,Southern Cross University,Australia,,,,
801-1000,Sumy State University,Ukraine,,"<12,000",Public,Comprehensive
801-1000,Robert Gordon University,United Kingdom,,"<12,000",Public,Focused
801-1000,Tokai University,Japan,,,,
801-1000,Universidad Austral de Chile,Chile,,"<30,000",Private,Comprehensive+
801-1000,Universidad Autónoma de Nuevo León,Mexico,,"<30,000",Private,Comprehensive+
801-1000,Universidad Autónoma del Estado de México (UAEMex),Mexico,,,,
801-1000,Universidad de Castilla-La Mancha,Spain,,,,
801-1000,Universidad de Guadalajara (UDG),Mexico,,">30,000",Public,Comprehensive+
801-1000,Universidad de las Américas Puebla (UDLAP),Mexico,,">30,000",Public,Comprehensive+
801-1000,Universidad de los Andes - (ULA) Mérida,Venezuela,,,,
801-1000,Universidad de Monterrey (UDEM),Mexico,,"<12,000",Private,Comprehensive
801-1000,University of Murcia,Spain,,,,
801-1000,Universidad de Oviedo,Spain,,"<30,000",,
801-1000,Universidad de Puerto Rico,Puerto Rico,,">30,000",Public,Comprehensive+
801-1000,Universidad de Talca,Chile,,,,
801-1000,Universidad de Valparaíso (UV),Chile,,"<30,000",Public,Comprehensive+
801-1000,Universidad del Norte,Colombia,,,,
801-1000,Universidad del Rosario,Colombia,,"<12,000",Private,Comprehensive
801-1000,Universidad del Valle,Colombia,,"<12,000",Private,Comprehensive
801-1000,Universidad Industrial de Santander - UIS,Colombia,,,,
801-1000,Universidad Metropolitana,Venezuela,,"<12,000",Private,Comprehensive
801-1000,Universidad Nacional Costa Rica,Costa Rica,,,,
801-1000,Universidad Nacional de Cuyo,Argentina,,"<30,000",Public,Comprehensive+
801-1000,Universidad Nacional de Mar del Plata,Argentina,,,,
801-1000,Universidad Nacional de Rosario (UNR),Argentina,,">30,000",Public,Comprehensive+
801-1000,Universidad Nacional de Tucumà¡n,Argentina,,">30,000",Public,Comprehensive+
801-1000,Universidad Nacional del Sur,Argentina,,,,
801-1000,Universidad Nacional Mayor de San Marcos,Peru,,">30,000",Public,Comprehensive+
801-1000,Universidad Panamericana (UP),Mexico,,,Private,Comprehensive
801-1000,Universidad Peruana Cayetano Heredia (UPCH),Peru,,"<12,000",Private,Focused
801-1000,Universidad Rey Juan Carlos,Spain,,,Private,
801-1000,Universidad Técnica Federico Santa María (USM),Chile,,">30,000",Public,Comprehensive
801-1000,Universidad Tecnológica Nacional (UTN),Argentina,,">30,000",Public,Focused
801-1000,Universidade da Coruña,Spain,,,,
801-1000,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,,"<30,000",Public,Comprehensive+
801-1000,Universidade Estadual de Londrina,Brazil,,,Private,Comprehensive
801-1000,Universidade Federal da Bahia,Brazil,,">30,000",Public,Comprehensive+
801-1000,Universidade Federal de Santa Maria,Brazil,,,,
801-1000,Universidade Federal de Viçosa-UFV,Brazil,,"<30,000",Public,Comprehensive+
801-1000,Universidade Federal do Ceará (UFC),Brazil,,,,
801-1000,Universidade Federal do Paraná - UFPR,Brazil,,">30,000",Public,Comprehensive+
801-1000,Universidade Federal de Pernambuco (UFPE),Brazil,,,,
801-1000,Universidade Federal Fluminense,Brazil,,">30,000",Public,Comprehensive+
801-1000,Catania University,Italy,,,Private,
801-1000,University of Siena,Italy,,"<30,000",Public,Comprehensive+
801-1000,University of Palermo,Italy,,,Private,
801-1000,Universitas Muhammadiyah Surakarta,Indonesia,,">30,000",Private,Focused
801-1000,Universität Rostock,Germany,,"<30,000",Public,Comprehensive+
801-1000,Université Charles-de-Gaulle Lille 3,France,,,,
801-1000,Université de Caen Basse-Normandie,France,,"<30,000",Public,Comprehensive+
801-1000,Université de Cergy-Pontoise,France,,"<30,000",Public,Comprehensive
801-1000,Université de Poitiers,France,,,,
801-1000,Université Jean Moulin Lyon 3,France,,"<30,000",Public,Specialist
801-1000,Université Lille 2 Droit et Santé,France,,"<30,000",Public,Specialist
801-1000,Université Mohammed V de Rabat,Morocco,,">30,000",Public,Comprehensive
