Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
551-600,Vilnius Gediminas Technical University,Lithuania,,"12,000",Public,Specialist
551-600,Western Sydney University,Australia,,,,
601-650,American University in Dubai,United Arab Emirates,,,,
601-650,Brno University of Technology,Czech Republic,,,,
601-650,Central Queensland University,Australia,,,,
601-650,Chonnam National University,South Korea,,"> 12,000 students",Private,Comprehensive
601-650,Far Eastern Federal University,Russia,,,,
601-650,Indiana University-Purdue University Indianapolis,United States,,"30,000",,
601-650,Inha University,South Korea,,,,
601-650,Istanbul Technical University,Turkey,,,,
601-650,ITMO University,Russia,,,,
601-650,Jadavpur University,India,,,,
601-650,Jordan University of Science & Technology,Jordan,,,,
601-650,Keele University,United Kingdom,,,,
601-650,Lanzhou University,China,,,,
601-650,Lebanese American University,Lebanon,,,,
601-650,National Chengchi University,Taiwan,,,,
601-650,National Chung Hsing University,Taiwan,,,,
601-650,National Taipei University of Technology,Taiwan,,,,
601-650,The New School,United States,,,,
601-650,Tallinn University of Technology,Estonia,,,,
601-650,TU Dortmund University,Germany,,,,
601-650,Thammasat University,Thailand,,,,
601-650,Universidad Anahuac,Mexico,,,,
601-650,Universidad de Antioquia,Colombia,,,,
601-650,Universidad de la Habana,Cuba,,,,
601-650,University of Salamanca,Spain,,,,
601-650,Universidad de San Andrés - UdeSA,Argentina,,"> 12,000 students",,
601-650,Universidad de Sevilla,Spain,,,,
601-650,Universidad Iberoamericana IBERO,Mexico,,,,
601-650,Universidade de Santiago de Compostela,Spain,,,,
601-650,Universität Duisburg-Essen,Germany,,,,
601-650,Université de Sherbrooke,Canada,,,,
601-650,Université Nice Sophia Antipolis,France,,,,
601-650,Universiti Teknologi Petronas (Petronas),Malaysia,,,,
601-650,University of Bradford,United Kingdom,,,,
601-650,University of Haifa,Israel,,,,
601-650,University of Houston,United States,,,,
601-650,University of Hull,United Kingdom,,,,
601-650,University of Hyderabad,India,,,,
601-650,University of Johannesburg,South Africa,,,,
601-650,University of Kufa,Iraq,,,,
601-650,University of Massachusetts - Boston,United States,,,,
601-650,"University of Missouri, Columbia",United States,,,,
601-650,University of Portsmouth,United Kingdom,,,,
601-650,University of South Carolina,United States,,,,
601-650,University of Tehran,"Iran, Islamic Republic of",,,,
601-650,Ulster University,United Kingdom,,,,
601-650,University of Zagreb,Croatia,,,,
601-650,Warsaw University of Technology,Poland,,,,
651-700,Ajou University,South Korea,,,,
651-700,Anna University,India,,,,
651-700,Beijing Foreign Studies University,China,,,,
651-700,Carleton University,Canada,,,,
651-700,Charles Darwin University,Australia,,"<12,000",Public,Comprehensive
651-700,Clarkson University,United States,,,,
651-700,Dublin Institute of Technology,Ireland,,"<30,000",Public,Comprehensive
651-700,Karaganda State University named after academician E.A.Buketov,Kazakhstan,,,,
651-700,Eötvös Lorànd University,Hungary,,"<30,000",Public,Focused
651-700,Gifu University,Japan,,"<12,000",Public,Comprehensive+
651-700,Hallym University,South Korea,,"<12,000",Private,Comprehensive+
651-700,Instituto Politécnico Nacional (IPN),Mexico,,">30,000",Public,Comprehensive
651-700,Instituto Tecnológico Autónomo de México (ITAM),Mexico,,,,
651-700,Kagoshima University,Japan,,"<12,000",Public,Comprehensive+
651-700,Kazakh-British Technical University,Kazakhstan,,,,
651-700,Konkuk University,South Korea,,"<30,000",Private,Comprehensive+
651-700,Kuwait University,Kuwait,,">30,000",Public,Comprehensive+
651-700,Louisiana State University,United States,,"<30,000",Public,Comprehensive
651-700,Missouri University of Science and Technology,United States,,"<12,000",Public,Comprehensive
651-700,National and Kapodistrian University of Athens,Greece,,">30,000",Public,Comprehensive+
651-700,Quaid-i-Azam University,Pakistan,,,,
651-700,Riga Technical University,Latvia,,"<12,000",Public,Comprehensive
651-700,"Rutgers - The State University of New Jersey, Newark",United States,,,,
651-700,Shanghai International Studies University,China,,"<12,000",Public,Specialist
651-700,Stevens Institute of Technology,United States,,"<12,000",Private,Comprehensive
